date,IRIS ID,USGS ID
2023-07-01,11715354,ak0238d1ci8u
2023-07-01,11715536,ak0238d9ldar
2023-07-01,11715608,ak0238dcdp76
2023-07-01,11715623,ak0238dd0u6o
2023-07-01,11715718,ak0238dbsie2
2023-07-01,11717748,ak0238d0oa6p
2023-07-01,11717795,ak0238dauzxk
2023-07-02,11715710,ak0238eour8p
2023-07-02,11715722,ak0238eptp91
2023-07-02,11715731,ak0238eq2jg6
2023-07-02,11715748,ak0238eqyxqh
2023-07-02,11715757,ak0238erji2h
2023-07-02,11715764,ak0238es4nt3
2023-07-02,11715776,ak0238esexrh
2023-07-02,11715801,ak0238etj0yl
2023-07-02,11715836,ak0238evv38t
2023-07-02,11715841,ak0238evxghc
2023-07-02,11715879,ak0238eyax7d
2023-07-02,11715900,ak0238ezdwtd
2023-07-02,11715905,ak0238ezghse
2023-07-02,11715930,ak0238f0q4pu
2023-07-02,11715934,ak0238f0s3jd
2023-07-02,11715945,ak0238f16uit
2023-07-02,11715946,ak0238f17rcv
2023-07-02,11715953,ak0238f1arwn
2023-07-02,11717720,ak0238etf8ge
2023-07-02,11717728,ak0238es7w1d
2023-07-02,11718640,ak0238eonb5j
2023-07-02,11718650,ak0238enza4u
2023-07-02,11718652,ak0238enm2e4
2023-07-02,11718742,ak0238f0qzqd
2023-07-02,11718747,ak0238f02fpd
2023-07-03,11716015,ak0238gddb14
2023-07-03,11716021,ak0238gdjid7
2023-07-03,11716057,ak0238gehdp7
2023-07-03,11716088,ak0238gf8ng6
2023-07-03,11716089,ak0238gfb49z
2023-07-03,11716094,ak0238gfpz51
2023-07-03,11716127,ak0238ghjqxs
2023-07-03,11716130,ak0238ghnzxp
2023-07-03,11716138,ak0238gghu1b
2023-07-03,11716173,ak0238gji26s
2023-07-03,11716177,ak0238gjkm5j
2023-07-03,11716181,ak0238gjuobm
2023-07-03,11716228,ak0238gl0xva
2023-07-03,11716352,ak0238go4nl5
2023-07-03,11716371,ak0238gou2c5
2023-07-03,11716372,ak0238gou4vn
2023-07-03,11716375,ak0238govk5s
2023-07-03,11718917,ak0238gidka1
2023-07-03,11719418,ak0238gmeljm
2023-07-03,11719428,ak0238gmblnx
2023-07-03,11719434,ak0238go1dfm
2023-07-03,11719437,ak0238gno3l2
2023-07-04,11716410,ak0238i0k5w2
2023-07-04,11716479,ak0238i41sja
2023-07-04,11716492,ak0238i6yfn5
2023-07-04,11716504,ak0238i7kavw
2023-07-04,11716513,ak0238i80xr9
2023-07-04,11716572,ak0238i9xybc
2023-07-04,11716579,ak0238iahs60
2023-07-04,11716592,ak0238ic95ee
2023-07-04,11716596,ak0238icaufb
2023-07-04,11718920,ak0238hyo2b4
2023-07-04,11718927,ak0238i2wgb2
2023-07-04,11718928,ak0238i2n9xr
2023-07-04,11718938,ak0238ia1wbe
2023-07-04,11718952,ak0238ibme0m
2023-07-04,11719656,ak0238i52eu2
2023-07-04,11719659,ak0238i3us44
2023-07-04,11719662,ak0238i4h207
2023-07-04,11719663,ak0238i4e0b7
2023-07-04,11719666,ak0238i43h1u
2023-07-04,11719673,ak0238i7lqt3
2023-07-05,11716605,ak0238jm2pau
2023-07-05,11716651,ak0238joo44r
2023-07-05,11716692,ak0238jrcugh
2023-07-05,11716695,ak0238jrfexf
2023-07-05,11716711,ak0238js8sk1
2023-07-05,11716716,ak0238jsrk6r
2023-07-05,11716883,ak0238jxkylq
2023-07-05,11716889,ak0238jy06pf
2023-07-05,11716914,ak0238jyhzi7
2023-07-05,11716962,ak0238jzrp52
2023-07-05,11719206,ak0238jp4v3d
2023-07-05,11719894,ak0238jtsm6e
2023-07-05,11719899,ak0238juwhwh
2023-07-05,11720250,ak0238juyqw6
2023-07-06,11717016,ak0238law53o
2023-07-06,11717051,ak0238lclfeo
2023-07-06,11717060,ak0238ld447g
2023-07-06,11717076,ak0238ldt367
2023-07-06,11717125,ak0238lgd59l
2023-07-06,11717126,ak0238lgof6t
2023-07-06,11717186,ak0238liqlrf
2023-07-06,11717189,ak0238lg4sgt
2023-07-06,11717199,ak0238lj5gg7
2023-07-06,11717318,ak0238lm63tf
2023-07-06,11719646,ak0238lf0luz
2023-07-06,11720674,ak0238lkc2s0
2023-07-06,11720678,ak0238ljvi00
2023-07-06,11720682,ak0238ljp60i
2023-07-06,11720693,ak0238lkfius
2023-07-06,11720694,ak0238lkf9u5
2023-07-06,11720801,ak0238lc431r
2023-07-06,11720815,ak0238laq2aw
2023-07-06,11720817,ak0238l9n2sa
2023-07-07,11717410,ak0238mxx26h
2023-07-07,11717417,ak0238mycqge
2023-07-07,11717440,ak0238mz635j
2023-07-07,11717445,ak0238mzknlt
2023-07-07,11717485,ak0238n1sqpt
2023-07-07,11717506,ak0238n38dfk
2023-07-07,11717530,ak0238n4upvc
2023-07-07,11717612,ak0238n6lqow
2023-07-07,11717645,ak0238n7h2an
2023-07-07,11717662,ak0238n91cp3
2023-07-07,11717771,ak0238n9l5ti
2023-07-07,11717847,ak0238nah9n0
2023-07-07,11720131,ak0238nawh2y
2023-07-07,11720133,ak0238nacpy0
2023-07-07,11720227,ak0238n7ds8s
2023-07-07,11720279,ak0238n2k8z6
2023-07-07,11720281,ak0238n24xj6
2023-07-07,11720282,ak0238n4703p
